3;1.346;1.569
3;0.361;0.369
3;0.339;0.346
3;0.387;0.403
3;0.333;0.338
3;0.318;0.328
3;0.439;0.458
3;0.35;0.368
3;0.315;0.32
1;0.765;0.892
1;0.41;0.514
1;0.333;0.385
1;0.329;0.366
1;0.315;0.35
1;0.331;0.365
1;0.329;0.354
1;0.327;0.362
1;0.335;0.356
1;0.337;0.356
1;0.223;0.229
1;0.26;0.266
1;0.13;0.147
1;0.144;0.151
1;0.162;0.223
1;0.142;0.149
1;0.142;0.151
1;0.193;0.2
1;0.113;0.121
1;0.155;0.16
1;0.32;0.332
1;0.251;0.263
1;0.203;0.218
1;0.321;0.33
1;0.178;0.193
1;0.183;0.192
1;0.164;0.172
1;0.211;0.218
1;0.215;0.226
1;0.236;0.247
1;0.422;0.44
1;0.278;0.287
1;0.295;0.309
1;0.306;0.316
1;0.289;0.3
1;0.289;0.299
1;0.377;0.389
1;0.26;0.27
1;0.293;0.313
1;0.259;0.267
1;0.304;0.315
1;0.26;0.269
1;0.306;0.312
1;0.225;0.233
1;0.186;0.193
1;0.226;0.235
1;0.168;0.175
1;0.191;0.196
1;0.161;0.167
1;0.165;0.171
1;0.342;0.351
1;0.273;0.279
1;0.15;0.156
1;0.246;0.25
1;0.227;0.235
1;0.297;0.302
1;0.178;0.183
1;0.163;0.171
1;0.172;0.177
1;0.182;0.187
1;0.313;0.318
1;0.267;0.273
1;0.211;0.217
1;0.196;0.204
1;0.243;0.25
1;0.14;0.145
1;0.16;0.164
1;0.144;0.148
1;0.184;0.188
1;0.151;0.155
1;0.271;0.274
1;0.148;0.152
1;0.198;0.201
1;0.124;0.127
1;0.129;0.136
1;0.126;0.13
1;0.152;0.16
1;0.108;0.113
1;0.097;0.1
1;0.098;0.102
1;0.093;0.094
1;0.09;0.091
1;0.126;0.128
1;0.053;0.055
1;0.055;0.057
1;0.052;0.052
1;0.055;0.056
1;0.067;0.068
1;0.078;0.078
1;0.043;0.049
501;19.224;19.635
501;23.687;23.824
502;23.933;0.704
2;0.305;0.308
2;0.308;0.31
2;0.325;0.334
2;0.316;0.318
2;0.564;0.567
2;0.319;0.323
2;0.307;0.31
2;0.319;0.322
2;0.343;0.345
101;2.666;2.703
101;2.386;2.423
101;2.51;2.531
101;2.913;2.936
101;2.265;2.288
101;2.721;2.743
101;3.138;3.166
101;2.762;2.806
101;2.97;2.988
101;3.058;3.075
201;5.336;5.397
201;4.702;4.733
201;4.606;4.671
201;5.09;5.126
201;4.994;5.033
301;6.629;6.684
301;7.363;7.402
301;6.819;6.864
301;6.482;6.53
301;6.537;6.599
401;9.516;9.667
401;8.391;8.484
401;8.83;8.891
401;8.682;8.744
401;8.261;8.326
501;10.423;10.527
501;10.697;10.76
501;11.255;11.328
501;12.68;12.743
501;10.713;10.782
3;0.376;0.38
3;0.337;0.341
3;0.341;0.347
3;0.344;0.348
3;0.321;0.325
2;0.376;0.381
2;0.311;0.319
2;0.308;0.311
2;0.286;0.288
2;0.292;0.295
102;2.937;2.976
102;3.066;3.104
102;2.674;2.702
102;2.762;2.808
102;3.091;3.114
202;4.737;4.799
202;4.831;4.873
202;6.524;6.583
202;4.615;4.659
202;4.763;4.83
302;6.977;7.083
302;6.926;7.05
302;6.678;6.765
302;7.06;7.151
302;6.829;6.944
402;8.564;8.674
402;9.433;9.535
402;10.951;11.037
402;9.159;9.265
402;8.847;8.932
502;11.116;11.254
502;10.795;10.926
502;10.945;11.044
502;10.871;10.984
502;12.019;12.121
2;0.345;0.347
2;0.324;0.327
2;0.306;0.308
2;0.335;0.338
2;0.321;0.327
102;2.869;2.899
102;2.803;2.831
102;2.894;2.922
102;3.146;3.178
102;2.631;2.666
2;0.337;0.34
2;0.306;0.31
2;0.295;0.297
2;0.32;0.329
2;0.35;0.356
101;2.569;2.591
101;2.655;2.672
101;2.273;2.297
101;2.471;2.497
101;2.463;2.479
201;4.59;4.626
201;4.407;4.438
201;4.755;4.79
201;5.518;5.555
201;5.186;5.212
301;6.709;6.77
301;6.556;6.598
301;7.303;7.351
301;8.013;8.054
301;6.535;6.585
401;8.701;8.835
401;8.564;8.622
401;9.059;9.124
401;10.488;10.552
401;9.078;9.132
501;12.059;12.162
501;11.14;11.207
501;12.454;12.51
501;11.156;11.216
501;10.753;10.828
2;0.431;0.432
2;0.31;0.313
2;0.308;0.311
2;0.292;0.296
2;0.317;0.327
112;6.795;6.432
112;4.47;4.091
112;3.254;2.888
112;3.455;3.063
112;3.311;2.936
112;3.753;3.294
112;6.388;5.992
112;3.373;3.012
112;3.47;3.0
112;3.298;2.887
212;5.74;5.332
212;6.31;5.944
212;6.046;5.592
212;5.928;5.616
212;5.188;4.887
18;1.274;0.929
18;1.314;0.918
18;1.835;1.698
18;1.85;1.715
18;1.91;1.815
18;1.853;1.718
18;1.934;1.718
18;1.908;1.781
2;0.341;0.349
5;1.032;0.764
112;3.849;3.571
112;3.452;3.08
112;4.557;4.116
112;3.591;3.238
112;3.371;2.952
112;5.98;5.041
112;5.247;4.288
112;7.764;5.605
112;5.327;4.352
112;5.351;4.443
212;6.258;5.889
212;5.647;5.322
212;5.575;5.167
212;5.359;4.952
212;5.514;5.146
312;8.08;7.73
312;7.422;6.987
312;7.537;7.153
312;9.316;8.919
312;7.324;6.929
412;9.599;9.243
412;11.167;10.773
412;11.117;10.722
412;9.54;9.168
412;9.271;8.93
512;11.877;11.559
512;11.348;11.012
512;13.008;12.653
512;11.971;11.547
512;11.818;11.461
112;3.449;3.012
112;3.392;2.966
112;3.562;3.187
112;3.276;2.876
112;3.158;2.789
3;12.037;12.086
0;0.0;0.538
11;1.683;1.778
2;1.614;1.814
4;0.361;0.429
3;0.174;0.436
3;0.245;1.278
1;4.257;4.499
0;0.0;0.25
112;16.029;15.852
102;3.782;3.901
102;5.595;6.024
102;6.32;6.41
112;4.799;4.494
112;4.743;4.227
112;4.373;15.337
112;4.913;10.337
112;4.049;7.857
4;1.009;0.709
4;1.738;1.603
3;0.802;0.811
503;13.363;13.789
514;15.597;15.357
518;14.64;14.22
0;0.0;0.118
0;0.0;0.312
0;0.0;0.07
0;0.0;0.802
0;0.0;0.717
0;0.0;0.609
20;2.519;1.941
212;9.707;9.392
1;0.134;0.142
1;0.05;0.053
555;24.628;23.625
511;20.524;20.7
555;24.363;22.792
4;1.064;0.765
4;0.925;0.631
4;0.932;0.646
4;0.945;0.646
4;0.927;0.636
3;0.639;0.642
3;0.551;0.555
3;0.566;0.572
3;0.557;0.562
3;0.586;0.589
111;5.146;5.185
111;5.529;5.551
111;4.484;4.503
111;4.477;4.5
111;4.442;4.457
1;0.529;0.538
1;0.354;0.365
1;0.399;0.411
1;0.229;0.235
1;0.254;0.266
2;0.331;0.333
2;0.318;0.32
2;0.319;0.322
2;0.343;0.345
2;0.299;0.3
201;12.743;12.763
201;7.116;7.14
201;7.877;7.9
201;8.54;8.552
201;7.812;7.835
301;16.544;16.586
301;12.735;12.76
301;12.933;12.965
301;11.224;11.244
301;11.815;11.84
401;16.654;16.69
401;15.449;15.493
401;16.769;16.794
401;23.598;23.636
401;17.83;17.864
501;22.362;22.41
501;18.46;18.495
501;17.947;17.985
501;17.109;17.159
501;17.022;17.07
101;3.867;3.877
101;3.746;3.753
101;3.878;3.89
101;3.569;3.586
101;4.592;4.601
201;7.221;7.243
201;7.225;7.242
201;6.771;6.8
201;6.855;6.871
201;6.71;6.724
201;7.365;7.382
201;6.697;6.712
201;7.707;7.722
201;7.077;7.091
201;6.79;6.813
3;0.647;0.649
3;0.66;0.663
3;0.565;0.569
3;0.568;0.571
3;0.594;0.598
111;4.378;4.396
111;4.219;4.239
111;4.037;4.066
111;3.994;4.009
111;4.07;4.095
211;7.877;7.91
211;7.829;7.858
211;7.513;7.537
211;7.336;7.358
211;7.412;7.447
311;11.161;11.201
311;12.033;12.062
311;10.709;10.743
311;10.525;10.561
311;10.65;10.689
411;14.069;14.125
411;14.087;14.134
411;13.689;13.731
411;13.906;13.969
411;14.167;14.218
511;18.062;18.114
511;18.886;18.937
511;17.047;17.108
511;17.426;17.492
511;17.116;17.177
3;0.617;0.62
3;0.629;0.633
3;0.591;0.594
3;0.6;0.607
3;0.603;0.609
4;1.05;0.745
4;0.933;0.63
4;0.856;0.58
4;0.94;0.63
4;0.923;0.623
123;7.479;6.566
124;6.93;5.708
124;6.552;5.396
124;9.511;8.611
124;5.925;5.074
233;9.873;8.611
233;10.534;9.361
233;9.517;8.39
233;9.613;8.328
233;9.634;8.337
341;15.028;13.55
341;15.283;13.622
341;15.062;13.427
341;14.797;13.284
341;12.722;11.907
448;17.598;16.007
448;18.066;16.489
448;19.131;17.468
448;18.262;16.566
448;16.809;15.227
555;21.299;19.66
555;21.1;19.413
555;20.544;18.786
555;20.675;18.794
555;20.309;18.433
0;0.0;0.664
0;0.0;0.007
0;0.0;22.028
0;0.0;0.305
0;0.0;0.584
0;0.0;0.281
1;16.239;16.277
7;0.703;0.711
7;1.151;1.334
0;0.0;0.507
13;0.603;0.613
13;0.603;0.612
0;0.0;0.486
0;0.0;0.534
0;0.0;0.613
0;0.0;2.668
0;0.0;152.433
0;0.0;6.469
0;0.0;6.233
0;0.0;0.502
0;0.0;0.113
0;0.0;1.86
0;0.0;0.601
0;0.0;0.797
0;0.0;1.123
